,match_id,date_planned_start,match_start,player_1,player_2,player_1_fh_goals,player_2_fh_goals,player_1_sh_goals,player_2_sh_goals,player_1_total_goals,player_2_total_goals,shift_n,match_count_within_shift,match_count_within_shift_player_pair,Total_goals,player_1_total_goals_est,player_2_total_goals_est,total_goals_est,result,result_est,outcomes_proba,over_4.5_goals_proba
7930,151840,1672613040,2023-01-01 22:44:02,4,29,0,0,0,2,0,2,872.0,17,6,2,1.7618338,2.455311,4.217145,2,2,27.57 - 19.15 - 53.28,41.350494515836594
7931,151841,1672613880,2023-01-01 22:58:01,22,29,1,2,0,3,1,5,872.0,18,6,6,2.025269,2.072965,4.098234,2,2,38.87 - 20.44 - 40.69,39.0347095964605
7932,152639,1672614720,2023-01-01 23:12:10,4,22,0,1,0,0,0,1,872.0,19,7,1,1.6236346,2.5433178,4.166952,2,2,23.78 - 18.53 - 57.69,40.37429463093367
7933,152640,1672615560,2023-01-01 23:26:05,4,29,3,1,1,1,4,2,872.0,20,7,6,1.7323353,2.3510637,4.083399,1,2,28.49 - 19.66 - 51.85,38.74518008751039
7934,152641,1672616400,2023-01-01 23:40:03,22,29,1,1,0,0,1,1,872.0,21,7,2,1.7817032,2.1770012,3.9587045,0,2,32.14 - 20.48 - 47.38,36.30958651647999
7935,152642,1672617240,2023-01-01 23:54:05,4,22,2,2,3,2,5,4,872.0,22,8,9,1.6239934,2.4816139,4.105607,1,2,24.59 - 18.88 - 56.53,39.17857616610206
7936,152643,1672618080,2023-01-02 00:08:00,4,29,2,1,0,0,2,1,872.0,23,8,3,1.7026649,2.346382,4.0490465,1,2,27.98 - 19.68 - 52.34,38.07442185800408
7937,152644,1672618920,2023-01-02 00:21:56,22,29,2,1,1,1,3,2,872.0,24,8,5,1.7753325,2.2596924,4.0350246,1,2,30.72 - 20.1 - 49.18,37.80054161108867
7938,152645,1672621440,2023-01-02 01:04:07,4,22,3,2,2,2,5,4,872.0,25,9,9,1.7575835,2.679643,4.4372263,1,2,24.48 - 18.0 - 57.52,45.59414342607512
7939,152646,1672622280,2023-01-02 01:18:03,4,29,0,1,2,2,2,3,872.0,26,9,5,1.7633805,2.4574695,4.22085,2,2,27.57 - 19.14 - 53.29,41.42246319410308
7940,152647,1672623120,2023-01-02 01:32:00,22,29,0,2,3,1,3,3,872.0,27,9,6,1.829408,2.4325924,4.2620006,0,2,29.19 - 19.28 - 51.53,42.22078194444686
7941,152648,1672623960,2023-01-02 01:46:06,4,22,0,2,3,0,3,2,872.0,28,10,5,1.861639,2.8984408,4.76008,1,2,23.58 - 17.07 - 59.35,51.64507405861754
7942,152649,1672624800,2023-01-02 01:59:59,4,29,1,2,1,0,2,2,872.0,29,10,4,1.7065578,2.2274852,3.934043,0,2,29.82 - 20.28 - 49.89,35.827959705467336
7943,152650,1672625640,2023-01-02 02:13:56,22,29,1,1,2,1,3,2,872.0,30,10,5,1.8107371,2.369672,4.1804094,1,2,29.75 - 19.58 - 50.67,40.63623406622082
7944,152651,1672626480,2023-01-02 02:28:06,4,22,2,2,0,1,2,3,872.0,31,11,5,1.8473989,2.8294291,4.676828,2,2,24.18 - 17.39 - 58.44,50.1098798911232
7945,152652,1672627320,2023-01-02 02:42:01,4,29,1,1,0,1,1,2,872.0,32,11,3,1.7715874,2.3755474,4.147135,2,2,28.9 - 19.55 - 51.55,39.98828761337773
7946,152653,1672628160,2023-01-02 02:56:06,22,29,2,0,2,2,4,2,872.0,33,11,6,1.9324241,2.180036,4.11246,1,2,35.16 - 20.27 - 44.57,39.312263080150295
7947,152654,1672629000,2023-01-02 03:10:05,4,22,1,2,2,1,3,3,872.0,34,12,6,1.7487016,2.5397162,4.288418,0,2,26.15 - 18.71 - 55.14,42.732234582711605
7948,152655,1672629840,2023-01-02 03:24:10,4,29,1,1,2,0,3,1,872.0,35,12,4,1.8093488,2.3402321,4.149581,1,2,30.17 - 19.71 - 50.12,40.035949597486976
7949,152656,1672630680,2023-01-02 03:38:35,22,29,2,1,2,1,4,2,872.0,36,12,6,2.1496582,2.2952867,4.444945,1,2,37.56 - 19.54 - 42.9,45.7415564671461
7950,152657,1672631520,2023-01-02 03:52:03,4,22,1,1,2,0,3,1,872.0,37,13,4,1.801896,2.557189,4.359085,1,2,26.91 - 18.67 - 54.42,44.09571523730215
7951,152658,1672632360,2023-01-02 04:05:59,4,29,0,1,1,2,1,3,872.0,38,13,4,1.7627875,2.4149888,4.1777763,2,2,28.16 - 19.35 - 52.49,40.58499435417668
7952,152659,1672633200,2023-01-02 04:19:58,22,29,1,2,0,1,1,3,872.0,39,13,4,2.1586382,2.2574382,4.4160767,2,2,38.37 - 19.63 - 42.0,45.18963420985178
7953,152660,1672634040,2023-01-02 04:34:04,4,22,0,2,1,2,1,4,872.0,40,14,5,1.8956921,2.8328161,4.728508,2,2,24.97 - 17.45 - 57.58,51.06518004735119
7954,152661,1672634880,2023-01-02 04:47:58,4,29,0,0,1,2,1,2,872.0,41,14,3,1.7330371,2.2854986,4.0185356,2,2,29.48 - 19.99 - 50.53,37.4784280260105
7955,152662,1672635720,2023-01-02 05:01:57,22,29,1,2,0,2,1,4,872.0,42,14,5,2.0217922,2.0064785,4.0282707,2,1,39.98 - 20.63 - 39.39,37.66860423431535
7956,152663,1672636560,2023-01-02 05:16:04,4,22,1,2,0,1,1,3,872.0,43,15,4,1.7993703,2.6506932,4.4500637,2,2,25.61 - 18.2 - 56.19,45.839253081908886
7957,152664,1672637400,2023-01-02 05:29:58,4,29,0,2,2,2,2,4,872.0,44,15,6,1.7483523,2.3482003,4.096553,2,2,28.85 - 19.68 - 51.47,39.001900334822366
7958,152665,1672638240,2023-01-02 05:43:59,22,29,0,3,0,1,0,4,872.0,45,15,4,1.9255546,2.034664,3.9602184,2,2,37.49 - 20.8 - 41.71,36.33916044238903
7959,152666,1672639080,2023-01-02 05:58:06,4,22,1,0,2,0,3,0,872.0,46,16,3,1.7832605,2.5618982,4.3451586,1,2,26.5 - 18.63 - 54.87,43.82759817127828
7960,152667,1672639920,2023-01-02 06:12:04,4,29,2,0,1,2,3,2,872.0,47,16,5,1.7360106,2.3101163,4.046127,1,2,29.17 - 19.87 - 50.97,38.017392483894
7961,152668,1672640760,2023-01-02 06:26:05,22,29,0,3,2,0,2,3,872.0,48,16,5,1.7837079,2.1863792,3.970087,2,2,32.03 - 20.43 - 47.54,36.53192860197454
7962,152669,1672642800,2023-01-02 06:59:56,12,21,0,0,2,0,2,0,873.0,1,1,2,1.2509222,1.6855384,2.9364605,1,2,28.44 - 23.97 - 47.59,17.417559193796773
7963,152670,1672642920,2023-01-02 07:02:03,5,26,1,0,0,2,1,2,873.0,2,1,3,2.2677577,2.1191685,4.386926,2,1,42.91 - 19.67 - 37.42,44.63079924590087
7964,152671,1672643640,2023-01-02 07:14:18,21,27,0,4,1,0,1,4,873.0,3,1,5,1.8299913,2.0029504,3.8329418,2,2,36.04 - 21.13 - 42.84,33.85641547562874
7965,152672,1672643760,2023-01-02 07:16:09,12,26,3,2,3,2,6,4,873.0,4,1,10,2.8204322,2.4646788,5.285111,1,1,47.11 - 17.77 - 35.12,60.803390448159114
7966,152673,1672644480,2023-01-02 07:28:10,5,27,0,2,0,1,0,3,873.0,5,1,3,1.5902457,2.7561514,4.3463974,2,2,20.61 - 17.23 - 62.16,43.85145404593022
7967,152674,1672644600,2023-01-02 07:30:10,21,26,1,4,2,0,3,4,873.0,6,1,7,1.9546795,2.478052,4.4327316,2,2,30.92 - 19.08 - 50.0,45.508242046976804
7968,152675,1672645320,2023-01-02 07:42:15,5,12,1,3,2,3,3,6,873.0,7,1,9,1.9558778,3.4766366,5.432514,2,2,18.76 - 14.56 - 66.68,63.18701869593437
7969,152676,1672645440,2023-01-02 07:44:06,26,27,1,1,0,0,1,1,873.0,8,1,2,1.6809698,2.7007484,4.381718,0,2,22.85 - 17.75 - 59.4,44.53080525703369
7970,152677,1672646160,2023-01-02 07:56:18,5,21,1,0,1,1,2,1,873.0,9,1,3,1.7340447,1.9942958,3.7283406,1,2,34.15 - 21.35 - 44.5,31.825830409295015
7971,152678,1672646280,2023-01-02 07:57:58,12,27,0,0,2,0,2,0,873.0,10,1,2,2.4190423,2.4675822,4.8866243,1,2,39.82 - 18.65 - 41.53,53.93927809217435
7972,152679,1672647000,2023-01-02 08:09:59,12,21,2,1,2,0,4,1,873.0,11,2,5,2.9173172,1.6929039,4.610221,1,1,62.88 - 16.6 - 20.53,48.86814419239388
7973,152680,1672647120,2023-01-02 08:11:46,5,26,1,1,2,0,3,1,873.0,12,2,4,2.0472755,2.7179143,4.76519,1,2,29.18 - 18.11 - 52.71,51.73866091346684
7974,152681,1672647840,2023-01-02 08:24:00,21,27,2,3,1,2,3,5,873.0,13,2,8,2.0511084,3.3454921,5.3966007,2,2,21.52 - 15.42 - 63.07,62.61449994926836
7975,152682,1672647960,2023-01-02 08:25:58,12,26,0,1,1,4,1,5,873.0,14,2,6,3.3940406,2.6981738,6.0922146,2,1,52.67 - 16.36 - 30.97,72.70969730829519
7976,152683,1672648680,2023-01-02 08:38:18,5,27,0,0,2,1,2,1,873.0,15,2,3,1.6094118,2.4380317,4.0474434,1,2,24.89 - 19.11 - 56.0,38.04310879676944
